CHLOROPHYLL,CHLOROPHYLL_A,CHLOROPHYLL_B,CLOUD_COVER,DEPTH_CLASS,DOC,ID,LATITUDE,LOCATION,LONGITUDE,MISSION,N_TOTAL,N_TOTAL_DISSOLVED,POC,P_ORGANIC,P_TOTAL,SAMPLE_SITE,SAMPLING_DEPTH,SILICA,SPM,TOC,TOTAL_DEPTH,TURBIDITY,WATER_PERIOD,blue_max,blue_mean,blue_median,blue_min,blue_stdDev,count_pixel,datetime,dif_date_point,green_max,green_mean,green_median,green_min,green_stdDev,img_date,nir_max,nir_mean,nir_median,nir_min,nir_stdDev,red_max,red_mean,red_median,red_min,red_stdDev,system_index
1.0350000000000001,1.9690600000000003,"< 0,01",51,1,3.575,2,-2.28422,LG,-55.22023,I,0.2254,0.12689999999999999,"< 0,001",0.0129137,0.022095,2,0.2,1.99,14.799999999999997,2.579,2.3,3.2,R,-0.00686983387752594,-0.021609475804308678,-0.021122003429605577,-0.025946159687903737,0.006282958450029953,9,2013-03-09 10:40:00,7.132026712962963,-0.005698177666533598,-0.018582690142705145,-0.017062380344724834,-0.022595530337411775,0.005511340545997937,2013-03-16T13:50:07,0.0333502021920276,0.02184185654682554,0.01895037818516905,0.013644181745373053,0.006574071391103559,-0.004837110743378663,-0.01845044854457873,-0.01797023674317982,-0.021972902737702554,0.005860425370300006,2_BOA_LE07_228061_20130316
1.0350000000000001,1.9690600000000003,"< 0,01",73,1,3.575,2,-2.28422,LG,-55.22023,I,0.2254,0.12689999999999999,"< 0,001",0.0129137,0.022095,2,0.2,1.99,14.799999999999997,2.579,2.3,3.2,R,-0.006849660035170964,-0.02145977653704444,-0.021035685966411193,-0.02593433875978499,0.006279614480535035,9,2013-03-09 10:40:00,7.132303599537037,-0.005706290341669768,-0.01839663166469848,-0.017063463397171037,-0.022455488402494773,0.005492726155526301,2013-03-16T13:50:31,0.033565714667813086,0.02209271809598827,0.019920731363319892,0.013657373124310371,0.006527685109516432,-0.004862556063013113,-0.018275217881384958,-0.018013490956210996,-0.021689240933470796,0.0058292995441937,2_BOA_LE07_228062_20130316
0.6993333333333335,2.1440399999999995,1.9471400000000005,51,1,2.854,3,-2.19696,LG,-55.29953,I,0.3364,0.279,3.771,0.02585875999999999,0.066088,3,0.2,2.43,34.40000000000004,6.625,4.63,39.800000000000004,R,0.01857402448106215,0.016988320283728785,0.017247468183918382,0.013278907306497237,0.001491225464910865,9,2013-03-09 11:20:00,7.104248935185185,0.029594569012413426,0.027905031428271478,0.02778768910107801,0.024333550525595174,0.0014538824842838067,2013-03-16T13:50:07,0.017359233546871834,0.016160860790748056,0.01570727075347031,0.014668469540804675,0.0008031981153667992,0.0375219160825359,0.03615107827461418,0.03672600126287515,0.03170161785220549,0.0016950473833851904,3_BOA_LE07_228061_20130316
0.6993333333333335,2.1440399999999995,1.9471400000000005,73,1,2.854,3,-2.19696,LG,-55.29953,I,0.3364,0.279,3.771,0.02585875999999999,0.066088,3,0.2,2.43,34.40000000000004,6.625,4.63,39.800000000000004,R,0.0188183449909277,0.01735794325130097,0.017597802475578916,0.013064894134169225,0.0016256954146319415,9,2013-03-09 11:20:00,7.1045258217592595,0.029525961485265,0.02821560737565033,0.028025248387665985,0.025166851206536126,0.0012620205038157163,2013-03-16T13:50:31,0.017467368426228272,0.01627052545267913,0.015835789805368716,0.014887650551808105,0.000787000178957013,0.03793434884736736,0.03659793293959595,0.03676610110876129,0.0328595953776562,0.0014445684996122101,3_BOA_LE07_228062_20130316
0.8273333333333333,10.23478,8.205020000000001,51,1,1.017,4,-2.221738,LG,-55.270194,I,0.376,0.04269,6.223000000000001,0.06377527999999999,0.113632,4,0.2,2.45,44.39999999999999,7.24,5.44,51.27333333333333,R,0.018255918136652956,0.01757028505776566,0.01745554878164529,0.016936178402153917,0.00038748568267310725,9,2013-03-09 13:00:00,7.034804490740741,0.029837488566121725,0.029231828032397104,0.028995949925231017,0.028877579314187846,0.0002674761293814377,2013-03-16T13:50:07,0.014527715471972232,0.013233717547967871,0.013146850873506324,0.011886769233537625,0.0008177786722621882,0.03595245032322571,0.03485153925466632,0.03485461840330742,0.033901493969216434,0.0005714093931987383,4_BOA_LE07_228061_20130316
0.8273333333333333,10.23478,8.205020000000001,73,1,1.017,4,-2.221738,LG,-55.270194,I,0.376,0.04269,6.223000000000001,0.06377527999999999,0.113632,4,0.2,2.45,44.39999999999999,7.24,5.44,51.27333333333333,R,0.01854421481362565,0.017759460329161442,0.0176611111631398,0.01701570177128958,0.00043309072356886836,9,2013-03-09 13:00:00,7.035081377314815,0.030050472748457825,0.029372423473211385,0.029167110449319984,0.028997543737515792,0.00029562738613535147,2013-03-16T13:50:31,0.014719207657414128,0.013362305115502645,0.013116420740986338,0.011921895105427925,0.0007696945708529677,0.03622645060589306,0.035003429002503555,0.03500021304799192,0.03403572993454519,0.0006120753582955158,4_BOA_LE07_228062_20130316
0.865,9.28442,8.13614,51,2,3.617,5,-2.221738,LG,-55.270194,I,0.3254,0.1891,3.2729999999999997,0.0803902,0.097652,4,1.0,2.29,43.6,6.89,5.44,51.05,R,0.018255918136652956,0.01757028505776566,0.01745554878164529,0.016936178402153917,0.00038748568267310725,9,2013-03-09 13:00:00,7.034804490740741,0.029837488566121725,0.029231828032397104,0.028995949925231017,0.028877579314187846,0.0002674761293814377,2013-03-16T13:50:07,0.014527715471972232,0.013233717547967871,0.013146850873506324,0.011886769233537625,0.0008177786722621882,0.03595245032322571,0.03485153925466632,0.03485461840330742,0.033901493969216434,0.0005714093931987383,5_BOA_LE07_228061_20130316
0.865,9.28442,8.13614,73,2,3.617,5,-2.221738,LG,-55.270194,I,0.3254,0.1891,3.2729999999999997,0.0803902,0.097652,4,1.0,2.29,43.6,6.89,5.44,51.05,R,0.01854421481362565,0.017759460329161442,0.0176611111631398,0.01701570177128958,0.00043309072356886836,9,2013-03-09 13:00:00,7.035081377314815,0.030050472748457825,0.029372423473211385,0.029167110449319984,0.028997543737515792,0.00029562738613535147,2013-03-16T13:50:31,0.014719207657414128,0.013362305115502645,0.013116420740986338,0.011921895105427925,0.0007696945708529677,0.03622645060589306,0.035003429002503555,0.03500021304799192,0.03403572993454519,0.0006120753582955158,5_BOA_LE07_228062_20130316
0.74,,,51,3,2.602,6,-2.221738,LG,-55.270194,I,0.3496,0.19640000000000002,3.764,0.06108580000000001,0.096666,4,2.0,2.38,44.8,6.366,5.44,49.3,R,0.018255918136652956,0.01757028505776566,0.01745554878164529,0.016936178402153917,0.00038748568267310725,9,2013-03-09 13:00:00,7.034804490740741,0.029837488566121725,0.029231828032397104,0.028995949925231017,0.028877579314187846,0.0002674761293814377,2013-03-16T13:50:07,0.014527715471972232,0.013233717547967871,0.013146850873506324,0.011886769233537625,0.0008177786722621882,0.03595245032322571,0.03485153925466632,0.03485461840330742,0.033901493969216434,0.0005714093931987383,6_BOA_LE07_228061_20130316
0.74,,,73,3,2.602,6,-2.221738,LG,-55.270194,I,0.3496,0.19640000000000002,3.764,0.06108580000000001,0.096666,4,2.0,2.38,44.8,6.366,5.44,49.3,R,0.01854421481362565,0.017759460329161442,0.0176611111631398,0.01701570177128958,0.00043309072356886836,9,2013-03-09 13:00:00,7.035081377314815,0.030050472748457825,0.029372423473211385,0.029167110449319984,0.028997543737515792,0.00029562738613535147,2013-03-16T13:50:31,0.014719207657414128,0.013362305115502645,0.013116420740986338,0.011921895105427925,0.0007696945708529677,0.03622645060589306,0.035003429002503555,0.03500021304799192,0.03403572993454519,0.0006120753582955158,6_BOA_LE07_228062_20130316
