,water_period,media_vazao,Data,type,day,month,year,longitude,latitude,time_start
0,R,149214.789,2000-01-13 10:43:38.181818240,LW_to_R,13,1,2000,-55.5131,-1.9192,2000-01-13
1,HW,183025.31028530464,2000-02-29 18:17:42.295081984,R_to_HW,29,2,2000,-55.5131,-1.9192,2000-02-29
2,F,169613.685,2000-08-24 20:45:42.857142784,HW_to_F,24,8,2000,-55.5131,-1.9192,2000-08-24
3,LW,136244.9202111729,2000-09-28 10:23:44.598930432,F_to_LW,28,9,2000,-55.5131,-1.9192,2000-09-28
4,R,149854.9129534884,2001-01-05 16:27:54.418604672,LW_to_R,5,1,2001,-55.5131,-1.9192,2001-01-05
5,HW,190720.28625301324,2001-02-14 03:32:52.173913088,R_to_HW,14,2,2001,-55.5131,-1.9192,2001-02-14
6,F,162837.60815999997,2001-08-05 00:08:05.393258496,HW_to_F,5,8,2001,-55.5131,-1.9192,2001-08-05
7,LW,103080.74733037633,2001-09-07 08:06:45.633802752,F_to_LW,7,9,2001,-55.5131,-1.9192,2001-09-07
8,R,148226.72101190477,2001-12-27 03:51:48.292683008,LW_to_R,27,12,2001,-55.5131,-1.9192,2001-12-27
9,HW,180563.7349375079,2002-02-26 08:00:00.000000000,R_to_HW,26,2,2002,-55.5131,-1.9192,2002-02-26
10,F,175660.20759999997,2002-08-19 03:22:40.000000000,HW_to_F,19,8,2002,-55.5131,-1.9192,2002-08-19
11,LW,116004.58807750206,2002-09-18 22:12:26.887966848,F_to_LW,18,9,2002,-55.5131,-1.9192,2002-09-18
12,R,150666.27463608026,2002-12-31 02:07:03.529411712,LW_to_R,31,12,2002,-55.5131,-1.9192,2002-12-31
13,HW,193666.54681003583,2003-03-14 15:37:58.899082624,R_to_HW,14,3,2003,-55.5131,-1.9192,2003-03-14
14,F,168239.77187499995,2003-08-12 19:25:42.857142784,HW_to_F,12,8,2003,-55.5131,-1.9192,2003-08-12
15,LW,126322.32968953854,2003-09-18 02:28:02.242990592,F_to_LW,18,9,2003,-55.5131,-1.9192,2003-09-18
16,R,154595.29489080462,2004-01-12 02:48:49.655172352,LW_to_R,12,1,2004,-55.5131,-1.9192,2004-01-12
17,HW,195550.16219969274,2004-03-08 10:15:00.000000000,R_to_HW,8,3,2004,-55.5131,-1.9192,2004-03-08
18,F,171769.7223147605,2004-07-19 10:22:42.162162048,HW_to_F,19,7,2004,-55.5131,-1.9192,2004-07-19
19,LW,124781.3575430352,2004-09-10 04:00:00.000000000,F_to_LW,10,9,2004,-55.5131,-1.9192,2004-09-10
20,R,138929.42266666668,2005-01-08 02:18:47.710843392,LW_to_R,8,1,2005,-55.5131,-1.9192,2005-01-08
21,HW,180999.04104059143,2005-02-24 12:08:53.333333376,R_to_HW,24,2,2005,-55.5131,-1.9192,2005-02-24
22,F,171839.26405405405,2005-07-13 09:36:00.000000000,HW_to_F,13,7,2005,-55.5131,-1.9192,2005-07-13
23,LW,106080.17694964157,2005-08-12 17:26:17.528089856,F_to_LW,12,8,2005,-55.5131,-1.9192,2005-08-12
24,R,160096.87898069495,2005-12-23 22:38:38.644067840,LW_to_R,23,12,2005,-55.5131,-1.9192,2005-12-23
