,area_km2,mean_SPM,max_SPM,min_SPM,stdDev_SPM,month_end,month_init,timestamp,year,WATER_PERIOD
0,989.0847583660595,73.53534528990672,306.0490417480469,6.6440324783325195,51.890126840163305,3,1,2000-01-01,2000,R
1,1335.4461347911367,22.679618481864665,282.4901123046875,5.844900131225586,15.929416272608739,9,7,2000-07-01,2000,F
2,983.2276572204636,134.03811756789977,306.0490417480469,8.780908584594727,74.67307385935673,12,10,2000-10-01,2000,LW
3,1134.1717239072864,93.21092494259999,306.0490417480469,6.6239190101623535,65.27633133171427,3,1,2001-01-01,2001,R
4,1335.0855540214877,18.72452114959841,282.4901123046875,5.401381969451904,15.715165707451089,6,4,2001-04-01,2001,HW
5,1384.282566190618,23.09702086540207,218.2885284423828,6.53792142868042,10.813260319742033,9,7,2001-07-01,2001,F
6,705.8457105246528,204.28104637412878,306.0490417480469,7.434469699859619,49.87765718878263,12,10,2001-10-01,2001,LW
7,1123.0557323139442,63.66171094469519,287.35321044921875,8.282954216003418,26.755680593064053,3,1,2002-01-01,2002,R
8,1315.867376891813,25.00148771936055,282.4901123046875,5.342865943908691,14.70314381967502,6,4,2002-04-01,2002,HW
9,1390.0450464128219,25.967594144149714,235.83560180664062,5.972805500030518,11.707186494792053,9,7,2002-07-01,2002,F
10,855.4465695877913,191.5111040805,306.0490417480469,6.049108028411865,64.18351051990021,12,10,2002-10-01,2002,LW
11,1329.2678746251047,33.60720672167806,284.38006591796875,5.6635236740112305,22.51086998600203,6,4,2003-04-01,2003,HW
12,1040.9326994141893,61.61830494196306,304.2342529296875,8.84835433959961,33.38776130587845,9,7,2003-07-01,2003,F
13,785.0289940019752,209.8628039534355,306.0490417480469,6.333446979522705,59.509665117060024,12,10,2003-10-01,2003,LW
14,1300.4036387050437,24.994581071910503,282.4901123046875,5.868872165679932,17.2820908811765,6,4,2004-04-01,2004,HW
15,1340.8767932524606,37.84599753532415,284.0492858886719,5.868872165679932,17.138627934138675,9,7,2004-07-01,2004,F
16,920.7168240625949,193.2530501560156,306.0490417480469,6.669885158538818,56.403151737352786,12,10,2004-10-01,2004,LW
17,1202.8769060774982,66.27671491207117,306.0490417480469,5.868872165679932,44.62965460546685,3,1,2005-01-01,2005,R
18,1450.5482690416954,22.78806323135916,282.4901123046875,5.296957015991211,17.85587643770239,6,4,2005-04-01,2005,HW
19,1320.8594519886892,34.010818575267905,294.67303466796875,6.657832622528076,15.17539456529466,9,7,2005-07-01,2005,F
20,469.40875297792735,211.5740078823621,306.0490417480469,10.77880573272705,46.657074633773924,12,10,2005-10-01,2005,LW
21,1176.3179675661827,43.22066817002322,288.7114562988281,6.377503871917725,21.37171776981443,3,1,2006-01-01,2006,R
22,1504.609894959393,27.317381800829917,282.4901123046875,5.8923492431640625,12.794182542219234,6,4,2006-04-01,2006,HW
23,1512.5830592129103,27.4418854365057,304.2342529296875,5.881446838378906,15.890645049757575,9,7,2006-07-01,2006,F
24,780.3798795102609,172.17213976363766,306.0490417480469,6.794393539428711,66.96118935118905,12,10,2006-10-01,2006,LW
25,1260.4575443877577,61.85159670870658,304.2342529296875,5.868872165679932,26.98791269294616,3,1,2007-01-01,2007,R
26,1456.9103739805346,27.84105500279981,282.4901123046875,5.556675434112549,18.921108658354246,6,4,2007-04-01,2007,HW
27,1384.275434260379,30.92126281913042,286.11883544921875,5.342865943908691,16.12332957259675,9,7,2007-07-01,2007,F
28,731.1720044671265,204.41454212006505,306.0490417480469,8.262507438659668,48.359092825127625,12,10,2007-10-01,2007,LW
29,1526.4333128186224,23.161374887972205,283.6737365722656,5.342865943908691,16.451035341192163,6,4,2008-04-01,2008,HW
30,1465.6984778656893,29.23898694787641,240.18966674804688,6.123204708099365,10.326765399202868,9,7,2008-07-01,2008,F
31,860.4150528157368,203.10696376746117,306.0490417480469,10.295536041259766,56.74396287420724,12,10,2008-10-01,2008,LW
32,1517.4458909192624,27.106356997820058,282.4901123046875,5.342865943908691,15.752623443912071,6,4,2009-04-01,2009,HW
33,1612.6777134639453,23.1537102191418,217.16981506347656,5.80126428604126,9.254636883015795,9,7,2009-07-01,2009,F
34,697.9323593705454,208.85483551069376,306.0490417480469,8.120428085327148,62.04547165976783,12,10,2009-10-01,2009,LW
35,1136.7016768675087,61.423191787175135,296.4863586425781,6.049108028411865,33.584265504655356,3,1,2010-01-01,2010,R
36,1339.3652504201366,21.087714494024585,282.4901123046875,5.342865943908691,14.065599409661463,6,4,2010-04-01,2010,HW
37,1311.9030401967916,36.40715773631047,275.3512878417969,5.401381969451904,15.969372172849253,9,7,2010-07-01,2010,F
38,1382.5960654829078,25.660973742658705,282.4901123046875,5.5951714515686035,13.574615003191463,6,4,2011-04-01,2011,HW
39,1428.5341301757528,27.141491980384533,282.4901123046875,5.6749958992004395,10.679480059047147,9,7,2011-07-01,2011,F
40,1516.9546202460049,25.572414884839347,282.4901123046875,5.80126428604126,14.330076198060675,6,4,2012-04-01,2012,HW
41,1539.0055669303363,25.8110294366323,230.98495483398438,5.342865943908691,8.558269388566508,9,7,2012-07-01,2012,F
42,591.6430551326449,206.1592690190921,306.0490417480469,6.797945976257324,51.665218078340544,12,10,2012-10-01,2012,LW
43,1527.5551192084192,20.5482971732584,282.4901123046875,5.342865943908691,11.28482839115408,6,4,2013-04-01,2013,HW
44,1507.487071285851,27.49758785828893,282.4901123046875,5.487191200256348,11.707452680840461,9,7,2013-07-01,2013,F
45,1042.044654708159,96.93273913895433,299.72991943359375,6.642884254455566,52.526822652634465,12,10,2013-10-01,2013,LW
