mean_precipitation,month,timestamp,year
1290.48672037121,1,2000-01-01,2000
757.7480327892919,4,2000-04-01,2000
249.19578051175375,7,2000-07-01,2000
207.14278313281147,10,2000-10-01,2000
1104.2922701618425,1,2001-01-01,2001
684.2426451088364,4,2001-04-01,2001
138.17307507954334,7,2001-07-01,2001
158.66622285461548,10,2001-10-01,2001
971.6799621554908,1,2002-01-01,2002
740.6558052902711,4,2002-04-01,2002
82.90740376269827,7,2002-07-01,2002
282.59407085987135,10,2002-10-01,2002
843.1249658953358,1,2003-01-01,2003
876.7794318904446,4,2003-04-01,2003
236.766770629174,7,2003-07-01,2003
174.99203080411164,10,2003-10-01,2003
1128.8908423422715,1,2004-01-01,2004
695.6116393595363,4,2004-04-01,2004
209.2873189957919,7,2004-07-01,2004
178.50426441470756,10,2004-10-01,2004
1170.4427724615045,1,2005-01-01,2005
733.6500097822515,4,2005-04-01,2005
185.5643444664191,7,2005-07-01,2005
409.9565574730752,10,2005-10-01,2005
1069.561572615088,1,2006-01-01,2006
1198.422789257381,4,2006-04-01,2006
162.42469362841456,7,2006-07-01,2006
300.7438588317045,10,2006-10-01,2006
926.4450911108581,1,2007-01-01,2007
821.9870597623232,4,2007-04-01,2007
160.55973655509152,7,2007-07-01,2007
359.6130593226495,10,2007-10-01,2007
1226.3486397185357,1,2008-01-01,2008
989.293053468457,4,2008-04-01,2008
138.49516892774562,7,2008-07-01,2008
459.24677989600264,10,2008-10-01,2008
1117.2550926288613,1,2009-01-01,2009
1051.038904842617,4,2009-04-01,2009
86.74428571682259,7,2009-07-01,2009
181.68855384574366,10,2009-10-01,2009
555.4579053201323,1,2010-01-01,2010
827.9931114744704,4,2010-04-01,2010
251.11394281676752,7,2010-07-01,2010
416.83507654988733,10,2010-10-01,2010
1166.151247447984,1,2011-01-01,2011
748.277829146789,4,2011-04-01,2011
166.40860743250144,7,2011-07-01,2011
327.9074391540236,10,2011-10-01,2011
1092.701851811651,1,2012-01-01,2012
497.30540867115326,4,2012-04-01,2012
280.3389114215056,7,2012-07-01,2012
311.255395802873,10,2012-10-01,2012
1326.6211007451723,1,2013-01-01,2013
694.7498790634468,4,2013-04-01,2013
361.81911536861895,7,2013-07-01,2013
389.52621613010245,10,2013-10-01,2013
975.391433392464,1,2014-01-01,2014
772.6184108349022,4,2014-04-01,2014
128.19558215843372,7,2014-07-01,2014
209.16228825191695,10,2014-10-01,2014
897.7034016116331,1,2015-01-01,2015
648.8056189886557,4,2015-04-01,2015
117.68550950049327,7,2015-07-01,2015
104.4397042841807,10,2015-10-01,2015
689.3758743224189,1,2016-01-01,2016
728.7347782171717,4,2016-04-01,2016
179.7899776230653,7,2016-07-01,2016
645.534705178061,10,2016-10-01,2016
1068.1364048205444,1,2017-01-01,2017
523.0460520064238,4,2017-04-01,2017
153.89281894942678,7,2017-07-01,2017
258.03960972083223,10,2017-10-01,2017
737.4050825370737,1,2018-01-01,2018
827.5806640647439,4,2018-04-01,2018
258.559921865453,7,2018-07-01,2018
426.6644896913272,10,2018-10-01,2018
867.7197822751887,1,2019-01-01,2019
720.1761807787766,4,2019-04-01,2019
127.8831811211788,7,2019-07-01,2019
462.6974478386259,10,2019-10-01,2019
771.4394369093216,1,2020-01-01,2020
867.3611978618408,4,2020-04-01,2020
138.0825952937747,7,2020-07-01,2020
368.05210590237607,10,2020-10-01,2020
1012.4551739986687,1,2021-01-01,2021
549.4601544712285,4,2021-04-01,2021
244.2155836783343,7,2021-07-01,2021
564.7531818418045,10,2021-10-01,2021
1115.1973199776648,1,2022-01-01,2022
766.2470926943402,4,2022-04-01,2022
181.76287100419498,7,2022-07-01,2022
413.1680077888616,10,2022-10-01,2022
903.4810783279692,1,2023-01-01,2023
490.8292603620102,4,2023-04-01,2023
80.88350904670669,7,2023-07-01,2023
173.82440003377275,10,2023-10-01,2023
875.2572579737579,1,2024-01-01,2024
924.9663542761709,4,2024-04-01,2024
72.88973554362086,7,2024-07-01,2024
306.11447686082863,10,2024-10-01,2024
