,area_km2,mean_SPM,max_SPM,min_SPM,stdDev_SPM,time_finish,time_start,year,WATER_PERIOD
0,988.055822576957,73.77907445040164,306.0490417480469,6.6440324783325195,52.140711383937145,2000-02-29,2000-01-13,2000,R
1,1343.5451424328216,20.859878742747313,255.05433654785156,5.296957015991211,15.593235129351399,2000-08-24,2000-02-29,2000,HW
2,983.2276572204636,134.03811756789975,306.0490417480469,8.780908584594727,74.67307385935673,2001-01-05,2000-09-28,2000,LW
3,953.8746699131158,114.03565148061634,306.0490417480469,6.31196928024292,75.57444796915432,2001-02-14,2001-01-05,2001,R
4,1398.9299847497607,20.702566910677504,282.4901123046875,5.342865943908691,20.977717243054673,2001-08-05,2001-02-14,2001,HW
5,1380.9679234466091,23.567422982341924,282.4901123046875,6.248684883117676,12.88539520010177,2001-09-07,2001-08-05,2001,F
6,741.9074228497971,186.85775501936558,296.3789978027344,7.729392051696777,65.01826456545649,2001-12-27,2001-09-07,2001,LW
7,1120.0728803269737,90.20584650178961,298.1380615234375,6.858320713043213,62.66566075700102,2002-02-26,2001-12-27,2001,R
8,1389.4015545729806,19.9500789082728,231.26675415039062,5.6749958992004395,11.94524414274765,2002-08-19,2002-02-26,2002,HW
9,1399.7012571006728,39.487863916431394,294.67303466796875,6.048137187957764,23.890194223305862,2002-09-18,2002-08-19,2002,F
10,902.4260476378596,174.63073530096503,306.0490417480469,9.325787544250488,70.36650899054759,2002-12-31,2002-09-18,2002,LW
11,942.6308025525292,117.09158785396124,306.0490417480469,7.038229942321777,80.91061253409002,2003-03-14,2002-12-31,2002,R
12,1328.735827622836,33.52744446240044,284.38006591796875,5.6635236740112305,22.346080762074273,2003-08-12,2003-03-14,2003,HW
13,967.3205669412215,155.9479105136505,306.0490417480469,6.15207052230835,79.08968175520774,2004-01-12,2003-09-18,2003,LW
14,1359.8534839363283,26.043217514596908,282.4901123046875,5.556675434112549,15.881660096497653,2004-07-19,2004-03-08,2004,HW
15,1349.208896657897,38.14936124865819,296.3232727050781,5.868872165679932,18.546965544681154,2004-09-10,2004-07-19,2004,F
16,945.6161097062885,180.37839703551552,306.0490417480469,6.049108028411865,62.340218532473116,2005-01-08,2004-09-10,2004,LW
17,1463.251211453241,30.033544791818965,282.4901123046875,5.597198486328125,21.216908613256813,2005-07-13,2005-02-24,2005,HW
18,1339.4290810268717,29.919779565665216,304.2342529296875,6.251514434814453,13.208423143609624,2005-08-12,2005-07-13,2005,F
19,880.0621884640932,122.26588325366366,302.4209289550781,10.081149101257324,74.20395302345223,2005-12-23,2005-08-12,2005,LW
20,1483.6806478574886,25.78243059387922,282.4901123046875,5.342865943908691,15.606119009268777,2006-08-03,2006-02-02,2006,HW
21,1512.1308020233012,27.032587826708056,282.4901123046875,5.686615943908691,12.295673275876052,2006-08-30,2006-08-03,2006,F
22,797.2881128164398,172.23855662173136,306.0490417480469,6.4653778076171875,68.65325520126194,2006-12-23,2006-08-30,2006,LW
23,1022.0036554499912,86.78807066469534,306.0490417480469,6.427184104919434,54.90675811101502,2007-02-24,2006-12-23,2006,R
24,1442.7946931632348,23.799394340965932,220.10482788085938,5.5537109375,14.744891827258535,2007-08-06,2007-02-24,2007,HW
25,987.2157527165342,122.47270205284664,304.2342529296875,9.711223602294922,66.25185658097479,2007-12-19,2007-09-04,2007,LW
26,1556.2387380505745,21.32601796900779,282.4901123046875,5.401381969451904,14.143237539656107,2008-08-07,2008-01-30,2008,HW
27,1487.3766007731401,32.409594678764485,282.4901123046875,8.889609336853027,11.288521893793982,2008-09-06,2008-08-07,2008,F
28,964.2225538603076,143.99501256357792,306.0490417480469,7.331065654754639,75.171041504808,2008-12-11,2008-09-06,2008,LW
29,1640.763275072793,22.898178492881225,217.12896728515625,5.733511924743652,10.690970561368811,2009-08-29,2009-01-21,2009,HW
30,1314.741587294281,29.447354822029762,306.0490417480469,5.342865943908691,17.68453539974346,2009-09-19,2009-08-29,2009,F
31,744.8373620684283,178.72060802344728,306.0490417480469,8.952117919921875,76.74729337952414,2010-01-02,2009-09-19,2009,LW
32,1058.8198522322639,65.55135620778009,296.4863586425781,8.843271255493164,37.30185068005678,2010-03-07,2010-01-02,2010,R
33,1413.281473315554,22.673591488119744,282.4901123046875,5.342865943908691,13.397568979152778,2010-07-24,2010-03-07,2010,HW
34,1248.7264512232298,36.88943894082678,304.2342529296875,6.029915809631348,21.43593873323414,2010-08-20,2010-07-24,2010,F
35,1059.347983601026,70.1714017396789,306.0490417480469,6.060711860656738,41.60963444191149,2011-01-17,2010-08-20,2010,LW
36,1419.757435801191,22.6374996288246,221.46188354492188,5.852083206176758,11.899519370930689,2011-08-07,2011-02-23,2011,HW
37,1304.6442363250246,35.57800013587983,296.4863586425781,7.85740327835083,13.159620817938885,2011-08-31,2011-08-07,2011,F
38,842.3512941322068,154.46765172255783,306.0490417480469,6.15207052230835,77.60975369966538,2011-12-26,2011-08-31,2011,LW
39,1572.312034559745,24.94250530596037,217.16981506347656,5.401381969451904,10.403350176384613,2012-08-11,2012-01-26,2012,HW
40,1410.2272903580165,29.119468594565227,306.0490417480469,5.868872165679932,16.075633193212273,2012-09-05,2012-08-11,2012,F
41,751.8020385038163,171.12154080864397,306.0490417480469,6.558223247528076,70.99558264504766,2013-01-08,2012-09-05,2012,LW
42,1528.3460144470532,19.07132765028019,216.9450225830078,5.405128002166748,11.377352817867184,2013-08-20,2013-02-12,2013,HW
43,1449.8247227728752,31.595312842595828,296.4863586425781,5.844900131225586,15.066249454493281,2013-09-24,2013-08-20,2013,F
