,CHLOROPHYLL,CHLOROPHYLL_A,CHLOROPHYLL_B,CLOUD_COVER,DEPTH_CLASS,DOC,ID,LATITUDE,LOCATION,LONGITUDE,MISSION,N_TOTAL,N_TOTAL_DISSOLVED,POC,P_ORGANIC,P_TOTAL,SAMPLE_SITE,SAMPLING_DEPTH,SILICA,SPM,TOC,TOTAL_DEPTH,TURBIDITY,WATER_PERIOD,blue_max,blue_mean,blue_median,blue_min,blue_stdDev,count_pixel,datetime,dif_date_point,green_max,green_mean,green_median,green_min,green_stdDev,img_date,nir_max,nir_mean,nir_median,nir_min,nir_stdDev,red_max,red_mean,red_median,red_min,red_stdDev,system_index,dif_date_point_abs,satellite
438,0.9559999999999998,29.74819333333333,6.819606666666668,59.0,1,4.579,290,-2.1572,SL,-55.805249,VI,0.0080038322343959,0.0077038322343959,0.6890000000000001,"< 0,01",0.043715110936064,30,0.2,2.95,35.43,5.268,4.0,39.02,R,0.0164629088482104,0.0156725667212952,0.0156477642005147,0.0145514658324788,0.0005424723773509,9,2016-04-15 13:10:00,-5.967631759259259,0.0337911072483736,0.0325954522340743,0.0328298650631907,0.0312067784426848,0.000860981557646,2016-04-09T13:56:36,0.0138585788945824,0.0127481523107466,0.0127021957794998,0.012209329355612,0.0004795622200412,0.0435400316244239,0.041461290519352,0.0414571835358622,0.0400732962741706,0.0011734419897523,290_BOA_LE07_228062_20160409,5.967631759259259,LD7
440,0.8433333333333334,59.97702666666666,2.1522800000000077,59.0,1,4.675,291,-2.219976,SL,-55.808397,VI,0.0118038322343959,0.0065038322343959,1.3630000000000004,"< 0,01",0.047715110936064,31,0.2,2.57,35.43,6.038,4.0,46.5,R,0.0153597141402449,0.0136564357513565,0.0143189514390897,0.0113484905949519,0.0011239131933929,9,2016-04-15 14:06:00,-6.006520648148149,0.0282833870629911,0.0266917284621725,0.0267114493399427,0.0246254491072626,0.0010043837260536,2016-04-09T13:56:36,0.0174182267639241,0.0153843149934631,0.0156209347025764,0.0138948257028934,0.0009788774215198,0.0369025509751823,0.0347277057040975,0.0346499744950018,0.0327120346587776,0.0013857748920296,291_BOA_LE07_228062_20160409,6.006520648148149,LD7
443,0.9559999999999998,43.32270666666667,2.9822566666666668,59.0,1,5.503,292,-2.177378,SL,-55.806321,VI,0.1823038322343959,0.1656038322343959,0.8079999999999998,"< 0,01",0.057715110936064,33,0.2,2.47,38.57,6.311,4.2,42.98,R,0.0176722528319275,0.0169611815475296,0.0168376723180123,0.0164145168306782,0.0003920084152036,9,2016-04-15 12:02:00,-5.920409537037037,0.0341568665605692,0.0327546961262363,0.0325422833563901,0.0313973364656225,0.0008258728760343,2016-04-09T13:56:36,0.0148487326199395,0.0138417398537107,0.0139272252538613,0.0131759878363741,0.0005739444371853,0.0443994426788446,0.0432251683148319,0.0434278852868764,0.0418333008648581,0.0007868367194186,292_BOA_LE07_228062_20160409,5.920409537037037,LD7
445,1.1449999999999998,21.815728333333336,1.0806249999999995,71.0,1,5.23,293,-2.258797,PQ,-55.623565,VI,0.0422038322343959,0.0369038322343959,1.9449999999999994,"< 0,01",0.041715110936064,9,0.2,3.09,19.43,7.175,4.0,17.966666666666665,R,0.0088349357805832,0.0074482079932914,0.007335266672745,0.0066663149205058,0.0006442731067546,9,2016-04-16 13:35:00,9.014818726851852,0.0144366452794972,0.0130715430397233,0.0130971072977666,0.0124809913473539,0.0006609090635983,2016-04-25T13:56:20,0.0104178302575151,0.0086794301431889,0.0085386403099528,0.0080477101507437,0.0008024507183909,0.0190106761382237,0.0173346442339333,0.0174101992731924,0.0162544305318965,0.0008927387936408,293_BOA_LE07_228061_20160425,9.014818726851852,LD7
449,0.765,24.35719333333333,3.4425233333333343,59.0,1,4.514,295,-2.229907,PQ,-55.495172,VI,0.0159038322343959,0.0491038322343959,0.33399999999999963,"< 0,01",0.027715110936064,11,0.2,3.41,53.14,4.848,3.8,39.68333333333333,R,0.0135640703054421,0.0102151830993331,0.0097849829963161,0.0088718809076621,0.0012792893029517,9,2016-04-17 10:45:00,-7.866937314814815,0.0181147488395747,0.0159905768088246,0.0158332700848713,0.0138474576641914,0.0011766494534268,2016-04-09T13:56:36,0.0095302827412594,0.0067357970681086,0.0058565851286067,0.0053102556700963,0.0013836318740755,0.0209551113056815,0.0196947976185666,0.0192676163405539,0.0185235439158178,0.000783958885788,295_BOA_LE07_228062_20160409,7.866937314814815,LD7
451,0.75,39.81220666666666,4.269846666666667,59.0,1,4.42,296,-2.170323,GP,-55.493823,VI,0.1036038322343959,0.0456038322343959,0.40300000000000047,"< 0,01",0.049715110936064,14,0.2,3.45,36.0,4.823,2.69,55.31999999999999,R,0.0165226737421444,0.0146045062518181,0.0143834797634841,0.0137518891098592,0.000833880545865,9,2016-04-17 11:48:00,-7.9106873148148145,0.029751395981446,0.0290141440380705,0.0290566142042216,0.0287807718182237,0.0003143297410708,2016-04-09T13:56:36,0.0087769687527523,0.0078940008847398,0.0080611863287177,0.0070221230539315,0.0005616995520756,0.0346867189806151,0.0342464960132293,0.0342503022990285,0.0335380065836644,0.000378995567437,296_BOA_LE07_228062_20160409,7.9106873148148145,LD7
453,0.722,72.56164166666667,1.8612749999999993,59.0,1,3.326,297,-2.133265,GP,-55.488798,VI,0.0681038322343959,0.0657038322343959,3.783,"< 0,01",0.062715110936064,15,0.2,3.22,61.14,7.109,4.6,65.47999999999999,R,0.0198314755584545,0.0184100233187487,0.0184230599879314,0.0168011667137796,0.0008073456748624,9,2016-04-17 13:31:00,-7.982215092592592,0.0391453408613256,0.0378715685746065,0.0378569153054133,0.0363527647474296,0.0008487916610454,2016-04-09T13:56:36,0.0136892563716974,0.0112228895335907,0.0114035594086999,0.0088359125700501,0.0013566840985573,0.0469009445128279,0.045812744680247,0.0460334964208554,0.0438292862345572,0.0009309666106069,297_BOA_LE07_228062_20160409,7.982215092592592,LD7
454,,55.01353444444444,1.468000000000002,43.0,1,5.197,298,-2.070564,SN,-55.486853,VI,0.0668038322343959,0.0650038322343959,0.8010000000000002,"< 0,01",0.061715110936064,16,0.2,3.32,45.43,5.998,4.2,,R,0.009769213667882,0.0069285312973201,0.0066658215749896,0.0049775219418431,0.0014700662855839,7,2016-04-19 12:52:00,-9.955408599537035,0.0230803847981365,0.0132057981266328,0.0109437785459762,0.010030500133437,0.0043963690125771,2016-04-09T13:56:12,0.0070491535065165,0.0051301550357007,0.0048481574409394,0.0035069932351986,0.0011005480873605,0.028692914180859,0.017564721492892,0.015286412506485,0.0137698322509079,0.0050579367921447,298_BOA_LE07_228061_20160409,9.955408599537035,LD7
455,1.0133333333333334,35.81526999999999,4.326291666666669,43.0,1,4.644,300,-2.095675,SN,-55.488855,VI,0.2245038322343959,0.1536038322343959,1.71,"< 0,01",0.065715110936064,19,0.2,3.29,43.71,6.354,3.7,55.23333333333334,R,0.0181024533114119,0.0166681065129796,0.016765310725766,0.0154582710178005,0.0009243984176117,9,2016-04-19 11:14:00,-9.88735304398148,0.0336118060115104,0.0333329352569005,0.0332359824717536,0.0329193712765351,0.0001865656204361,2016-04-09T13:56:12,0.0088168545261922,0.0086468008710523,0.0086428826718452,0.0084393539406612,0.0001406817927727,0.0397057198304659,0.0390981897384823,0.0393810119880759,0.037810850823992,0.0007010440244044,300_BOA_LE07_228061_20160409,9.88735304398148,LD7
457,,18.636783333333334,0.21125000000000013,71.0,1,3.671,301,-2.245385,LG,-55.24066,VI,0.0084038322343959,0.0027038322343959,2.57,"< 0,01",0.031715110936064,2,0.2,3.11,15.43,6.241,4.3,,R,0.0106583639847604,0.009455489024755,0.0091917954211333,0.0080664065044348,0.0009285579464115,9,2016-04-21 09:22:00,4.190513171296296,0.022706786182812,0.0184864829458824,0.017807350415484,0.0143969793085807,0.0030135750994735,2016-04-25T13:56:20,0.0079386597755077,0.0059809964830275,0.005800883444762,0.0038428489079391,0.0010782228681915,0.0254458906182058,0.0208002537169518,0.0203436226837302,0.0153413805807888,0.0036833335375767,301_BOA_LE07_228061_20160425,4.190513171296296,LD7
