"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.837220892804293,0.70762512156914,-0.557839982739574,-0.144923696328699,0.429975065924706,-0.454781548000946,0.555920047945985,0.17230803257226
"area_km2",-0.837220892804293,1,-0.783215417231333,0.669204742981808,0.166415037962806,-0.430288609839445,0.628972928773367,-0.611453852211825,-0.117310171430756
"mean_precipitation",0.70762512156914,-0.783215417231333,1,-0.51698377119329,-0.351351354853696,0.38487351343236,-0.498955607309827,0.37281805383745,0.0969095280451031
"mean_discharge",-0.557839982739574,0.669204742981808,-0.51698377119329,1,0.273553189833564,-0.287969437001408,0.444154668143287,-0.422941882788337,-0.211571606228836
"anthropic_km2",-0.144923696328699,0.166415037962806,-0.351351354853696,0.273553189833564,1,-0.290214351000971,0.2374428793916,0.136523001468484,-0.135904245728538
"mean_u__wind",0.429975065924706,-0.430288609839445,0.38487351343236,-0.287969437001408,-0.290214351000971,1,-0.482390553975301,0.165376066669072,0.155443405937995
"mean_v__wind",-0.454781548000946,0.628972928773367,-0.498955607309827,0.444154668143287,0.2374428793916,-0.482390553975301,1,-0.403920427387649,0.0435027183848986
"max_SPM",0.555920047945985,-0.611453852211825,0.37281805383745,-0.422941882788337,0.136523001468484,0.165376066669072,-0.403920427387649,1,-0.0685254848292591
"min_SPM",0.17230803257226,-0.117310171430756,0.0969095280451031,-0.211571606228836,-0.135904245728538,0.155443405937995,0.0435027183848986,-0.0685254848292591,1
