"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.21304347826087,-0.256521739130435,-0.296521739130435,-0.430434782608696,-0.0817391304347826,0.573043478260869,0.604847832389508,-0.141770568262233
"area_km2",-0.21304347826087,1,0.761739130434783,0.505217391304348,0.899130434782609,-0.0669565217391304,-0.453043478260869,-0.559670655641054,0.150161972614203
"mean_precipitation",-0.256521739130435,0.761739130434783,1,0.436521739130435,0.758260869565217,0.259130434782609,-0.34,-0.376330268448295,-0.0852390021015918
"mean_discharge",-0.296521739130435,0.505217391304348,0.436521739130435,1,0.544347826086956,0.0791304347826087,-0.242608695652174,-0.442122273421773,0.151928584056723
"anthropic_km2",-0.430434782608696,0.899130434782609,0.758260869565217,0.544347826086956,1,-0.0243478260869565,-0.676521739130435,-0.657481436368291,0.253067089140995
"mean_u__wind",-0.0817391304347826,-0.0669565217391304,0.259130434782609,0.0791304347826087,-0.0243478260869565,1,-0.141739130434783,0.229394790674194,-0.124104453837033
"mean_v__wind",0.573043478260869,-0.453043478260869,-0.34,-0.242608695652174,-0.676521739130435,-0.141739130434783,1,0.573267670002239,-0.394837657403228
"max_SPM",0.604847832389508,-0.559670655641054,-0.376330268448295,-0.442122273421773,-0.657481436368291,0.229394790674194,0.573267670002239,1,-0.377153123354102
"min_SPM",-0.141770568262233,0.150161972614203,-0.0852390021015918,0.151928584056723,0.253067089140995,-0.124104453837033,-0.394837657403228,-0.377153123354102,1
