"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.312357066823089,0.287173665375473,0.115085170311999,-0.491789865423311,0.448458045073799,0.0888289663128144,0.0998844564080506,0.085415993048535
"area_km2",-0.312357066823089,1,-0.519044228704658,-0.237510947670245,0.452171925640744,-0.29211696102498,0.568763157987747,-0.107071920307719,0.112763060422216
"mean_precipitation",0.287173665375473,-0.519044228704658,1,0.403826711131802,-0.358211572939147,0.324077756176675,-0.161825676829848,-0.277000021052789,-0.193715723269089
"mean_discharge",0.115085170311999,-0.237510947670245,0.403826711131802,1,0.324062150545424,-0.137500269181852,0.0313951833656389,0.160120128865525,-0.277409766166862
"anthropic_km2",-0.491789865423311,0.452171925640744,-0.358211572939147,0.324062150545424,1,-0.482814710763539,0.294773729167757,0.212231473681781,0.0842519606277768
"mean_u__wind",0.448458045073799,-0.29211696102498,0.324077756176675,-0.137500269181852,-0.482814710763539,1,-0.360041469295333,-0.130166604097918,0.274720062271583
"mean_v__wind",0.0888289663128144,0.568763157987747,-0.161825676829848,0.0313951833656389,0.294773729167757,-0.360041469295333,1,-0.123745329385846,0.1644879937199
"max_SPM",0.0998844564080506,-0.107071920307719,-0.277000021052789,0.160120128865525,0.212231473681781,-0.130166604097918,-0.123745329385846,1,-0.137066589309435
"min_SPM",0.085415993048535,0.112763060422216,-0.193715723269089,-0.277409766166862,0.0842519606277768,0.274720062271583,0.1644879937199,-0.137066589309435,1
