"","area_km2","mean_SPM","mean_precipitation","discharge_mean","mean_u__wind","mean_v__wind"
"area_km2",1,-0.884047761614596,-0.0228769680532563,0.881104594983512,-0.140467049417069,-0.319291324715579
"mean_SPM",-0.884047761614596,1,-0.0138248036349547,-0.891442560149519,0.14444718396675,0.30134549681237
"mean_precipitation",-0.0228769680532563,-0.0138248036349547,1,0.26891037499107,0.499189884118207,-0.108555528160333
"discharge_mean",0.881104594983512,-0.891442560149519,0.26891037499107,1,0.00405065074647627,-0.190257304409492
"mean_u__wind",-0.140467049417069,0.14444718396675,0.499189884118207,0.00405065074647627,1,0.0296748969743933
"mean_v__wind",-0.319291324715579,0.30134549681237,-0.108555528160333,-0.190257304409492,0.0296748969743933,1
