"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.810573731626363,0.762446657183499,-0.555239449976292,-0.220851027435621,0.500978544932942,-0.474807353662723,0.624243805383206,0.417409521003396
"area_km2",-0.810573731626363,1,-0.755808440018966,0.653153153153153,0.218358887953543,-0.416414694900464,0.684410200423196,-0.690120618927652,-0.310889936269385
"mean_precipitation",0.762446657183499,-0.755808440018966,1,-0.59506875296349,-0.345695348156886,0.482950907899371,-0.576882043176732,0.425271429659147,0.150694930911325
"mean_discharge",-0.555239449976292,0.653153153153153,-0.59506875296349,1,0.272117896781235,-0.213010763896677,0.484884413603131,-0.50981334037452,-0.340696419846015
"anthropic_km2",-0.220851027435621,0.218358887953543,-0.345695348156886,0.272117896781235,1,-0.259202135444066,0.217257246633188,0.156145394299758,-0.165666087842808
"mean_u__wind",0.500978544932942,-0.416414694900464,0.482950907899371,-0.213010763896677,-0.259202135444066,1,-0.448668563664147,0.18333295799347,0.260262781990946
"mean_v__wind",-0.474807353662723,0.684410200423196,-0.576882043176732,0.484884413603131,0.217257246633188,-0.448668563664147,1,-0.432154329646516,-0.17500024190277
"max_SPM",0.624243805383206,-0.690120618927652,0.425271429659147,-0.50981334037452,0.156145394299758,0.18333295799347,-0.432154329646516,1,0.202015768825818
"min_SPM",0.417409521003396,-0.310889936269385,0.150694930911325,-0.340696419846015,-0.165666087842808,0.260262781990946,-0.17500024190277,0.202015768825818,1
