"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.404872032069072,-0.510329941412273,-0.342213999383287,-0.327758653649403,0.0643410160196841,0.511825835144207,0.641192364797816,0.343481046484514
"area_km2",-0.404872032069072,1,0.40277520814061,0.333086648165279,0.706492386928708,-0.0975293828639698,-0.0537173517786003,-0.447365139930011,-0.0892729016709572
"mean_precipitation",-0.510329941412273,0.40277520814061,1,0.62022818378045,0.0659096671243763,0.389932466213253,-0.417095809504792,-0.786345766402273,-0.655967135424227
"mean_discharge",-0.342213999383287,0.333086648165279,0.62022818378045,1,0.307887012437747,0.161932087297863,-0.246631101908867,-0.5602760089269,-0.564961980636993
"anthropic_km2",-0.327758653649403,0.706492386928708,0.0659096671243763,0.307887012437747,1,-0.233957857038388,-0.129539941413921,-0.127196301569194,0.120999566190959
"mean_u__wind",0.0643410160196841,-0.0975293828639698,0.389932466213253,0.161932087297863,-0.233957857038388,1,-0.226280080917601,-0.123858104160001,-0.105047001950118
"mean_v__wind",0.511825835144207,-0.0537173517786003,-0.417095809504792,-0.246631101908867,-0.129539941413921,-0.226280080917601,1,0.392688953242193,0.133635075471593
"max_SPM",0.641192364797816,-0.447365139930011,-0.786345766402273,-0.5602760089269,-0.127196301569194,-0.123858104160001,0.392688953242193,1,0.488338600672614
"min_SPM",0.343481046484514,-0.0892729016709572,-0.655967135424227,-0.564961980636993,0.120999566190959,-0.105047001950118,0.133635075471593,0.488338600672614,1
