"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.342570225963702,-0.416856001516588,-0.293153023764911,-0.5073661508017,-0.0384833227033609,0.47178557952642,0.361445452005859,0.0990651563320097
"area_km2",-0.342570225963702,1,0.720128920525387,0.584031016593437,0.889117704078772,-0.173482534056136,-0.427701016998811,-0.391236056485981,0.0638593143050105
"mean_precipitation",-0.416856001516588,0.720128920525387,1,0.504729609381747,0.730707982113539,0.167682824322538,-0.316071024854711,-0.0899964967094899,-0.168282137339815
"mean_discharge",-0.293153023764911,0.584031016593437,0.504729609381747,1,0.603173140816027,0.133287822733924,-0.349372545669857,-0.292769036141329,0.145967261658385
"anthropic_km2",-0.5073661508017,0.889117704078772,0.730707982113539,0.603173140816027,1,-0.118686086609442,-0.679532187515977,-0.534624444762143,0.170238221360114
"mean_u__wind",-0.0384833227033609,-0.173482534056136,0.167682824322538,0.133287822733924,-0.118686086609442,1,-0.0206215804390402,0.364900875946713,-0.137495027373224
"mean_v__wind",0.47178557952642,-0.427701016998811,-0.316071024854711,-0.349372545669857,-0.679532187515977,-0.0206215804390402,1,0.445760306633555,-0.308124297504158
"max_SPM",0.361445452005859,-0.391236056485981,-0.0899964967094899,-0.292769036141329,-0.534624444762143,0.364900875946713,0.445760306633555,1,-0.43236274559108
"min_SPM",0.0990651563320097,0.0638593143050105,-0.168282137339815,0.145967261658385,0.170238221360114,-0.137495027373224,-0.308124297504158,-0.43236274559108,1
