"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.778048780487805,-0.303939962476548,-0.530206378986867,-0.161987127457529,-0.105440900562852,0.554971857410882,0.0613327046232774,0.528812710861749
"area_km2",-0.778048780487805,1,0.130956848030019,0.538273921200751,-0.0317400864235621,0.198874296435272,-0.336772983114447,-0.123905592612099,-0.34152096211249
"mean_precipitation",-0.303939962476548,0.130956848030019,1,0.168667917448405,-0.230913824010471,0.0213883677298311,-0.430393996247655,0.0761021610674857,-0.23096810941546
"mean_discharge",-0.530206378986867,0.538273921200751,0.168667917448405,1,0.221429360315857,0.153095684803002,-0.523076923076923,0.159532678385915,-0.419293062395532
"anthropic_km2",-0.161987127457529,-0.0317400864235621,-0.230913824010471,0.221429360315857,1,0.0657339067943595,-0.108742662954098,0.0643304636884149,-0.173005505226246
"mean_u__wind",-0.105440900562852,0.198874296435272,0.0213883677298311,0.153095684803002,0.0657339067943595,1,0.05046904315197,0.184561833581443,-0.22082392242202
"mean_v__wind",0.554971857410882,-0.336772983114447,-0.430393996247655,-0.523076923076923,-0.108742662954098,0.05046904315197,1,-0.188282383678076,0.353543702252864
"max_SPM",0.0613327046232774,-0.123905592612099,0.0761021610674857,0.159532678385915,0.0643304636884149,0.184561833581443,-0.188282383678076,1,-0.338491654255255
"min_SPM",0.528812710861749,-0.34152096211249,-0.23096810941546,-0.419293062395532,-0.173005505226246,-0.22082392242202,0.353543702252864,-0.338491654255255,1
