"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.779784720874523,-0.200317107126582,-0.516873422920771,-0.168624626640277,-0.0901430520606467,0.566835910023589,0.165803985271162,0.459734454780828
"area_km2",-0.779784720874523,1,0.102819772930358,0.559235271595556,-0.020402567332825,0.200034645965335,-0.359949615988476,-0.252701035667234,-0.317191177531846
"mean_precipitation",-0.200317107126582,0.102819772930358,1,0.0903171269031731,-0.395680539331455,0.0224248310467108,-0.363360902016893,-0.169370940657282,-0.134686364617594
"mean_discharge",-0.516873422920771,0.559235271595556,0.0903171269031731,1,0.201427253922607,0.179394332360422,-0.473243423973973,0.0620551353953402,-0.436318043100179
"anthropic_km2",-0.168624626640277,-0.020402567332825,-0.395680539331455,0.201427253922607,1,0.0128272317466143,-0.126418246845092,0.152826968920419,-0.147423044806499
"mean_u__wind",-0.0901430520606467,0.200034645965335,0.0224248310467108,0.179394332360422,0.0128272317466143,1,0.105244469018878,0.214916172633667,-0.134821152729994
"mean_v__wind",0.566835910023589,-0.359949615988476,-0.363360902016893,-0.473243423973973,-0.126418246845092,0.105244469018878,1,-0.0253443531945649,0.335136665359091
"max_SPM",0.165803985271162,-0.252701035667234,-0.169370940657282,0.0620551353953402,0.152826968920419,0.214916172633667,-0.0253443531945649,1,-0.0874894964421689
"min_SPM",0.459734454780828,-0.317191177531846,-0.134686364617594,-0.436318043100179,-0.147423044806499,-0.134821152729994,0.335136665359091,-0.0874894964421689,1
