"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.443798009622406,-0.517744050084028,-0.345831943217526,-0.402938640043697,0.0829501760250339,0.289961137283243,0.515871156533238,0.296140516244091
"area_km2",-0.443798009622406,1,0.44386565697202,0.35696289396575,0.614393335219886,-0.082036912071011,0.119237848432046,-0.450162635715977,-0.0930839016645932
"mean_precipitation",-0.517744050084028,0.44386565697202,1,0.685144670014657,0.112353599378519,0.388368882686998,-0.323372107700103,-0.750483737095396,-0.459104139219297
"mean_discharge",-0.345831943217526,0.35696289396575,0.685144670014657,1,0.366302724232836,0.178449687860831,-0.236661034618956,-0.553013268964394,-0.383714576323109
"anthropic_km2",-0.402938640043697,0.614393335219886,0.112353599378519,0.366302724232836,1,-0.323907244140098,-0.0158478230831473,-0.191379945595658,0.0850889452483018
"mean_u__wind",0.0829501760250339,-0.082036912071011,0.388368882686998,0.178449687860831,-0.323907244140098,1,-0.366924165709703,-0.201805121297568,0.0325923576948739
"mean_v__wind",0.289961137283243,0.119237848432046,-0.323372107700103,-0.236661034618956,-0.0158478230831473,-0.366924165709703,1,0.307954750154432,0.228303080961787
"max_SPM",0.515871156533238,-0.450162635715977,-0.750483737095396,-0.553013268964394,-0.191379945595658,-0.201805121297568,0.307954750154432,1,0.280845570064003
"min_SPM",0.296140516244091,-0.0930839016645932,-0.459104139219297,-0.383714576323109,0.0850889452483018,0.0325923576948739,0.228303080961787,0.280845570064003,1
