"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.747692307692308,-0.209230769230769,-0.256153846153846,-0.271206006170901,-0.293846153846154,0.422307692307692,0.176375098684445,0.426949187162309
"area_km2",-0.747692307692308,1,-0.0653846153846154,0.363846153846154,-0.015002885447752,0.447692307692308,-0.170769230769231,-0.122072420518052,-0.271799933396384
"mean_precipitation",-0.209230769230769,-0.0653846153846154,1,-0.323076923076923,-0.109636470579726,0.106153846153846,-0.226153846153846,0.0412700354064588,-0.189797970487843
"mean_discharge",-0.256153846153846,0.363846153846154,-0.323076923076923,1,0.243893060868584,0.246923076923077,0.00769230769230769,0.00521305710397375,-0.361886596873373
"anthropic_km2",-0.271206006170901,-0.015002885447752,-0.109636470579726,0.243893060868584,1,0.0173110216704831,-0.281977308543646,0.00521405990423386,-0.0361956210531201
"mean_u__wind",-0.293846153846154,0.447692307692308,0.106153846153846,0.246923076923077,0.0173110216704831,1,0.271538461538462,0.185063527191068,-0.279114662482123
"mean_v__wind",0.422307692307692,-0.170769230769231,-0.226153846153846,0.00769230769230769,-0.281977308543646,0.271538461538462,1,-0.0768925922836128,0.155534239507279
"max_SPM",0.176375098684445,-0.122072420518052,0.0412700354064588,0.00521305710397375,0.00521405990423386,0.185063527191068,-0.0768925922836128,1,-0.259599325781638
"min_SPM",0.426949187162309,-0.271799933396384,-0.189797970487843,-0.361886596873373,-0.0361956210531201,-0.279114662482123,0.155534239507279,-0.259599325781638,1
