"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.799246344881484,-0.116495567972898,-0.326266450425067,-0.253415830698966,-0.184313933536875,0.415269840658856,0.367499596568567,0.400833096220188
"area_km2",-0.799246344881484,1,-0.0352970880094788,0.443794031291092,-0.0246936214930468,0.363325209059556,-0.162650978276384,-0.402719954589533,-0.265484257660594
"mean_precipitation",-0.116495567972898,-0.0352970880094788,1,-0.250391052701204,-0.222873258938572,0.102366636677283,-0.207872132659503,-0.310103592753938,-0.0870079273978298
"mean_discharge",-0.326266450425067,0.443794031291092,-0.250391052701204,1,0.264871912836293,0.189320754906739,0.0857671099931021,-0.142395766160485,-0.369403759198327
"anthropic_km2",-0.253415830698966,-0.0246936214930468,-0.222873258938572,0.264871912836293,1,-0.0483979423262561,-0.330170603952864,0.145966668046332,-0.0738098453177923
"mean_u__wind",-0.184313933536875,0.363325209059556,0.102366636677283,0.189320754906739,-0.0483979423262561,1,0.413502545689531,0.223027406106882,-0.0813871785680231
"mean_v__wind",0.415269840658856,-0.162650978276384,-0.207872132659503,0.0857671099931021,-0.330170603952864,0.413502545689531,1,0.196629501215287,0.117197450963211
"max_SPM",0.367499596568567,-0.402719954589533,-0.310103592753938,-0.142395766160485,0.145966668046332,0.223027406106882,0.196629501215287,1,0.0514237585579603
"min_SPM",0.400833096220188,-0.265484257660594,-0.0870079273978298,-0.369403759198327,-0.0738098453177923,-0.0813871785680231,0.117197450963211,0.0514237585579603,1
