"","mean_SPM","area_km2","mean_precipitation","mean_discharge","anthropic_km2","mean_u__wind","mean_v__wind","max_SPM","min_SPM"
"mean_SPM",1,-0.34274421230943,0.304347826086957,0.199322416713721,-0.437605872388481,0.446647359207853,0.19598984119581,0.103175415531476,0.103919903814485
"area_km2",-0.34274421230943,1,-0.300959909655562,-0.0728402032749859,0.573122529644269,-0.356072482815893,0.536571611342996,-0.13095341202072,0.0800694340865704
"mean_precipitation",0.304347826086957,-0.300959909655562,1,-0.111236589497459,-0.517786561264822,0.619871810307477,-0.341711394592119,-0.277779964892436,-0.302105949886918
"mean_discharge",0.199322416713721,-0.0728402032749859,-0.111236589497459,1,0.328063241106719,-0.123408269084046,0.0519627244669007,0.148527246534323,-0.274848270197873
"anthropic_km2",-0.437605872388481,0.573122529644269,-0.517786561264822,0.328063241106719,1,-0.503256656952829,0.39197968239162,0.209752218388166,0.0772300924522949
"mean_u__wind",0.446647359207853,-0.356072482815893,0.619871810307477,-0.123408269084046,-0.503256656952829,1,-0.407135812192642,-0.0693379500706483,0.18075807371978
"mean_v__wind",0.19598984119581,0.536571611342996,-0.341711394592119,0.0519627244669007,0.39197968239162,-0.407135812192642,1,0.032889364323027,0.149391553093226
"max_SPM",0.103175415531476,-0.13095341202072,-0.277779964892436,0.148527246534323,0.209752218388166,-0.0693379500706483,0.032889364323027,1,0.124572588140954
"min_SPM",0.103919903814485,0.0800694340865704,-0.302105949886918,-0.274848270197873,0.0772300924522949,0.18075807371978,0.149391553093226,0.124572588140954,1
