,area_km2,mean_SPM,max_SPM,min_SPM,stdDev_SPM,month_init,year,water_period,mean_precipitation,discharge_max,discharge_min,discharge_mean,mean_u__wind,mean_v__wind
0,989.0847583660596,73.53534528990672,306.0490417480469,6.64403247833252,51.890126840163305,1,2000,R,1290.48672037121,180970.06,152791.39,167251.6,-0.9339752954651326,-0.4114312876027556
1,1335.4461347911367,22.679618481864665,282.4901123046875,5.844900131225586,15.92941627260874,7,2000,F,249.19578051175372,210227.4933333333,187716.69666666663,199513.62,-1.6453487939547082,0.0556601649435014
2,983.2276572204636,134.03811756789975,306.0490417480469,8.780908584594727,74.67307385935673,10,2000,LW,207.14278313281147,131677.15166666667,112206.03866666667,119414.215,-1.3442410188347624,0.1584949799731814
3,1134.1717239072864,93.2109249426,306.0490417480469,6.6239190101623535,65.27633133171427,1,2001,R,1104.2922701618425,180008.92333333334,151748.30166666667,165210.75666666668,-1.4008583717112626,-0.4240530059403983
4,1335.0855540214875,18.72452114959841,282.4901123046875,5.401381969451904,15.715165707451089,4,2001,HW,684.2426451088364,225499.91666666663,217867.04,222300.54,-1.3219595426501285,-0.0932790873143136
5,1384.282566190618,23.09702086540207,218.2885284423828,6.53792142868042,10.813260319742032,7,2001,F,138.17307507954334,196338.9233333333,165046.18,181597.23666666663,-1.618516165353704,-0.2049660414178483
6,705.8457105246528,204.2810463741288,306.0490417480469,7.434469699859619,49.87765718878263,10,2001,LW,158.66622285461548,112400.515,89882.90333333334,99907.03666666668,-1.8165920023342976,0.163258578711502
7,1123.0557323139442,63.66171094469519,287.35321044921875,8.282954216003418,26.755680593064053,1,2002,R,971.6799621554908,172924.38,149273.3633333333,161885.28666666665,-1.3808597876807434,-0.444644181409541
8,1315.867376891813,25.00148771936055,282.4901123046875,5.342865943908691,14.70314381967502,4,2002,HW,740.6558052902711,219020.74,208954.17,214025.82333333333,-1.5430112838835752,-0.1599958213644994
9,1390.045046412822,25.967594144149714,235.83560180664065,5.972805500030518,11.707186494792053,7,2002,F,82.90740376269827,206412.9833333333,181938.06333333327,195080.74666666667,-2.1534397834978614,-0.1261200397624527
10,855.4465695877913,191.5111040805,306.0490417480469,6.049108028411865,64.18351051990021,10,2002,LW,282.5940708598713,127152.76733333334,96680.80866666666,111548.18833333334,-1.641473453796486,0.0338664431261512
11,1329.2678746251047,33.60720672167806,284.38006591796875,5.663523674011231,22.51086998600203,4,2003,HW,876.7794318904446,212586.63,200656.53000000003,207488.31666666665,-1.5214147276635233,-0.0937500718551846
12,1040.9326994141893,61.61830494196306,304.2342529296875,8.84835433959961,33.38776130587845,7,2003,F,236.766770629174,198514.03333333333,175022.75333333333,187919.58666666667,-1.3160754861087212,-0.202900905820289
13,785.0289940019752,209.8628039534355,306.0490417480469,6.333446979522705,59.50966511706002,10,2003,LW,174.99203080411164,119597.06,105142.232,110333.3,-1.3188409283421263,0.2686567408990193
14,1300.4036387050437,24.994581071910503,282.4901123046875,5.868872165679932,17.2820908811765,4,2004,HW,695.6116393595363,207860.92,197665.97333333336,204072.7333333333,-1.4407022869311898,-0.0815393192686452
15,1340.8767932524606,37.84599753532415,284.0492858886719,5.868872165679932,17.138627934138675,7,2004,F,209.2873189957919,180898.53333333333,158592.69999999998,170339.84,-1.5602968185914858,-0.1686396407236495
